"","species","entrez_id","pathway_id","pathway_name","gene_symbol"
"1","hsa","10000","path:hsa04062","Chemokine signaling pathway","AKT3"
"2","hsa","10235","path:hsa04062","Chemokine signaling pathway","RASGRP2"
"3","hsa","10344","path:hsa04062","Chemokine signaling pathway","CCL26"
"4","hsa","10451","path:hsa04062","Chemokine signaling pathway","VAV3"
"5","hsa","10563","path:hsa04062","Chemokine signaling pathway","CXCL13"
"6","hsa","10663","path:hsa04062","Chemokine signaling pathway","CXCR6"
"7","hsa","10681","path:hsa04062","Chemokine signaling pathway","GNB5"
"8","hsa","107","path:hsa04062","Chemokine signaling pathway","ADCY1"
"9","hsa","108","path:hsa04062","Chemokine signaling pathway","ADCY2"
"10","hsa","10803","path:hsa04062","Chemokine signaling pathway","CCR9"
"11","hsa","10850","path:hsa04062","Chemokine signaling pathway","CCL27"
"12","hsa","109","path:hsa04062","Chemokine signaling pathway","ADCY3"
"13","hsa","111","path:hsa04062","Chemokine signaling pathway","ADCY5"
"14","hsa","112","path:hsa04062","Chemokine signaling pathway","ADCY6"
"15","hsa","113","path:hsa04062","Chemokine signaling pathway","ADCY7"
"16","hsa","114","path:hsa04062","Chemokine signaling pathway","ADCY8"
"17","hsa","1147","path:hsa04062","Chemokine signaling pathway","CHUK"
"18","hsa","115","path:hsa04062","Chemokine signaling pathway","ADCY9"
"19","hsa","1230","path:hsa04062","Chemokine signaling pathway","CCR1"
"20","hsa","1232","path:hsa04062","Chemokine signaling pathway","CCR3"
"21","hsa","1233","path:hsa04062","Chemokine signaling pathway","CCR4"
"22","hsa","1234","path:hsa04062","Chemokine signaling pathway","CCR5"
"23","hsa","1235","path:hsa04062","Chemokine signaling pathway","CCR6"
"24","hsa","1236","path:hsa04062","Chemokine signaling pathway","CCR7"
"25","hsa","1237","path:hsa04062","Chemokine signaling pathway","CCR8"
"26","hsa","131890","path:hsa04062","Chemokine signaling pathway","GRK7"
"27","hsa","1398","path:hsa04062","Chemokine signaling pathway","CRK"
"28","hsa","1399","path:hsa04062","Chemokine signaling pathway","CRKL"
"29","hsa","146850","path:hsa04062","Chemokine signaling pathway","PIK3R6"
"30","hsa","1524","path:hsa04062","Chemokine signaling pathway","CX3CR1"
"31","hsa","156","path:hsa04062","Chemokine signaling pathway","GRK2"
"32","hsa","157","path:hsa04062","Chemokine signaling pathway","GRK3"
"33","hsa","1794","path:hsa04062","Chemokine signaling pathway","DOCK2"
